"URT Data for 23 Cities, 2015-2024",,,,,,,,,,,
Year,DMU,"Number of
 assigned vehicles (List)","Operating kilometers 
(10,000 vehicle kilometers)","Total operational energy consumption 
(Thousand kilowatt-hours)","Passenger traffic volume
(Ten thousand people)",CE (×10^4 tCO2),GDP (Billion yuan), route length (Km),"Average daily number of 
actual transactions (train trips)",,
2021,Shenyang,159,9162 ,27759 ,39150 ,15.62 ,7250 ,217 ,1815,,
2022,Shenyang,186,8188 ,24552 ,29345 ,13.81 ,7696 ,217 ,1726,,
2023,Shenyang,253,10273 ,29670 ,50823 ,16.69 ,8122 ,262 ,2145,,
2024,Shenyang,284,13108 ,37832 ,65811 ,21.28 ,9027 ,285 ,2510,,
2017,Dalian,104,4523 ,11722 ,15720 ,6.59 ,6052 ,182 ,997,,
2018,Dalian,114,5290 ,14281 ,19225 ,8.03 ,6501 ,181 ,1167,,
2019,Dalian,114,5416 ,14265 ,20323 ,8.03 ,6990 ,181 ,1171,,
2020,Dalian,114,5379 ,17811 ,12468 ,10.02 ,7000 ,181 ,1162,,
2021,Dalian,126,5394 ,18345 ,15648 ,10.32 ,7826 ,224 ,1216,,
2022,Dalian,138,5427 ,20044 ,13654 ,11.28 ,8400 ,236 ,1128,,
2023,Dalian,246,8154 ,26668 ,25201 ,15.00 ,8753 ,260 ,1998,,
2024,Dalian,259,8678 ,27511 ,27659 ,15.48 ,9517 ,260 ,1982,,
2017,Changchun,99,1549 ,7329 ,9010 ,3.61 ,5432 ,82 ,785,,
2018,Changchun,132,2475 ,10639 ,12730 ,5.25 ,5635 ,118 ,1167,,
2019,Changchun,136,3455 ,10255 ,20465 ,5.06 ,5904 ,118 ,1348,,
2020,Changchun,134,3622 ,17619 ,31628 ,8.69 ,6602 ,118 ,1425,,
2021,Changchun,143,3967 ,18810 ,19516 ,9.28 ,7065 ,124 ,1565,,
2022,Changchun,169,3498 ,17530 ,11393 ,8.65 ,6518 ,124 ,1206,,
2023,Changchun,168,4247 ,18664 ,21908 ,9.21 ,7002 ,129 ,1527,,
2024,Changchun,190,6046 ,26606 ,27109 ,13.12 ,7632 ,158 ,1863,,
2017,Harbin,21,1982 ,7372 ,11328 ,3.96 ,4717 ,23 ,413,,
2018,Harbin,21,1380 ,7323 ,9742 ,3.93 ,5010 ,22 ,502,,
2019,Harbin,31,1899 ,8245 ,10361 ,4.43 ,5129 ,30 ,546,,
2020,Harbin,31,1603 ,7186 ,5136 ,3.86 ,5135 ,30 ,485,,
2021,Harbin,87,2636 ,10634 ,7256 ,5.71 ,5293 ,78 ,930,,
2022,Harbin,87,4844 ,18229 ,13359 ,9.79 ,5435 ,78 ,939,,
2023,Harbin,99,6225 ,19778 ,28128 ,10.62 ,5576 ,100 ,1127,,
2024,Harbin,122,7042 ,21373 ,36123 ,11.47 ,6016 ,110 ,1237,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
